VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,8342,Korbel X Dry,8.21,11.99,750.0,16916.0,138880.35999999993,16311.0,209317.89000000004,75750.989999999,1823.2300000000089,68601.68000000001,70437.53000000012,33.6509841562038,0.9642350437455663,1.507181360993017
9552,M S WALKER INC,3452,Vanya Light Vodka,5.55,6.99,1750.0,25006.0,138783.29999999964,24803.0,181795.17000000138,69129.52999999882,45568.97000000061,55551.819999999985,43011.87000000174,23.659522967525163,0.9918819483324002,1.3099210784006567
4425,MARTIGNETTI COMPANIES,44714,Buehler Znfdl Napa,13.51,19.99,750.0,10242.0,138369.42000000004,9925.0,119616.74999999942,47116.96999999945,1108.4400000000037,144929.24,-18752.670000000624,-15.677294358859204,0.9690490138644796,0.864473884475337
3960,DIAGEO NORTH AMERICA INC,5616,Emmets Irish Cream,15.38,19.99,1750.0,8996.0,138358.48000000004,8936.0,178630.6400000006,120539.69999999886,16423.819999999905,257032.07000000007,40272.16000000056,22.544934060584694,0.9933303690529124,1.2910711363698166
8004,SAZERAC CO INC,5849,GranGala Triple Orange,12.4,16.99,750.0,11142.0,138160.79999999984,11168.0,193756.32000000152,101492.40999999896,8799.679999999948,50293.62000000002,55595.52000000168,28.693525971179284,1.0023335128343205,1.4023972067330368
9552,M S WALKER INC,3894,Zhenka Vodka 100 Proof,9.08,13.49,1750.0,15214.0,138143.11999999947,15251.0,202316.99000000133,114814.31999999839,28024.530000000304,55551.819999999985,64173.87000000186,31.719466565809146,1.0024319705534377,1.4645462618768281
480,BACARDI USA INC,3782,Grey Goose Le Citron Vodka,18.89,23.99,750.0,7312.0,138123.68000000017,7572.0,186388.78000000084,120956.05999999908,5966.309999999992,89286.26999999999,48265.100000000675,25.894852683729386,1.035557986870897,1.3494339276219733
8112,MOET HENNESSY USA INC,5353,Grand Marnier,12.77,18.99,375.0,10791.0,137801.0699999999,11026.0,206346.24000000156,134528.06999999913,4324.549999999961,48347.26,68545.17000000167,33.21852145209971,1.021777407098508,1.497421173870433
10000,MAJESTIC FINE WINES,6351,Kendall Jackson Vntr RSV Cab,11.18,17.99,750.0,12322.0,137759.95999999988,11715.0,208058.85000000038,89623.8199999991,1306.750000000005,17587.59,70298.89000000051,33.787983544079175,0.9507385164745983,1.5102998723286547
12546,JIM BEAM BRANDS COMPANY,807,Jim Beam,13.23,19.99,1000.0,10389.0,137446.47,10239.0,192879.61000000022,99887.48999999906,10750.949999999923,123880.96999999999,55433.14000000022,28.73976155385225,0.9855616517470401,1.4033071202192404
3252,E & J GALLO WINERY,12216,Da Vinci Pnt Grigio,6.66,9.99,750.0,20603.0,137215.9799999998,19810.0,195680.40000000029,78162.84999999867,2211.7000000000244,61966.909999999996,58464.42000000048,29.877504338707606,0.9615104596417997,1.426075884164516
8352,LUXCO INC,1961,Everclear 151,23.91,34.99,1750.0,5730.0,137004.29999999964,5580.0,187406.20000000045,114112.0399999994,10254.859999999984,10261.599999999997,50401.90000000081,26.894467739061295,0.9738219895287958,1.3678855335197577
17035,PERNOD RICARD USA,3627,Absolut 80 Proof,9.37,13.99,375.0,14610.0,136895.69999999992,14380.0,187398.20000000106,125310.4999999983,5640.759999999927,123780.21999999997,50502.500000001135,26.94929833904533,0.9842573579739904,1.368912244869643
6785,PALM BAY INTERNATIONAL INC,15527,Roscato Rosso,6.57,9.99,750.0,20795.0,136623.14999999997,20760.0,223386.40000000093,85866.25999999861,2319.2200000000244,13605.409999999998,86763.25000000096,38.839987573102306,0.9983169031017072,1.6350552596686652
3252,E & J GALLO WINERY,10727,Starborough Svgn Bl Marlboro,5.41,9.99,750.0,25165.0,136142.64999999967,25225.0,237069.63000000108,78293.79999999865,2822.440000000028,61966.909999999996,100926.98000000141,42.57271587254806,1.0023842638585336,1.7413325655112608
9815,WINE GROUP INC,11825,Cupcake Cab Svgn,4.66,6.99,750.0,29200.0,136071.99999999983,27737.0,208652.63000000105,70095.77999999844,3102.0600000000404,27100.409999999996,72580.63000000123,34.78538947723825,0.9498972602739726,1.5333987153859818
3960,DIAGEO NORTH AMERICA INC,3086,Ciroc Coconut Vodka,35.03,47.99,1750.0,3882.0,135986.46000000005,3868.0,191347.32000000007,59255.169999999816,7107.709999999997,257032.07000000007,55360.860000000015,28.932132417637202,0.996393611540443,1.4071056780211795
9815,WINE GROUP INC,18988,Franzia Chillable Red Tap,8.9,14.99,5000.0,15278.0,135974.20000000022,15235.0,207832.65000000165,120322.35999999844,11426.25,27100.409999999996,71858.45000000144,34.57514976592988,0.9971854954837021,1.5284712099795499
3960,DIAGEO NORTH AMERICA INC,2854,Talisker 10-Yr Single Malt,38.45,49.99,750.0,3534.0,135882.30000000002,2953.0,166564.4700000002,122583.29999999964,2327.950000000001,257032.07000000007,30682.170000000187,18.420597141755472,0.8355970571590265,1.2257996074543938
3960,DIAGEO NORTH AMERICA INC,3497,Johnnie Walker Platinum,73.07,94.99,750.0,1857.0,135690.98999999993,1729.0,167302.7100000001,133826.1899999999,1363.6299999999999,257032.07000000007,31611.720000000176,18.894924057117876,0.9310716208939149,1.232968452805895
1392,CONSTELLATION BRANDS INC,6264,Cooks Extra Dry,4.79,6.99,750.0,28307.0,135590.52999999956,27492.0,204172.08000000007,53193.59999999895,3080.310000000027,79528.99,68581.55000000051,33.590072648523,0.9712085349913449,1.5057989669337581
17035,PERNOD RICARD USA,1896,The Glenlivet 18 Yr Single,68.83,94.99,750.0,1962.0,135044.46,1936.0,203200.64000000045,168558.92000000027,1526.9499999999987,123780.21999999997,68156.18000000046,33.54132152339693,0.9867482161060143,1.5046943799101455
1392,CONSTELLATION BRANDS INC,21019,Black Box Pnt Nr,10.66,16.99,3000.0,12647.0,134817.01999999944,12512.0,229216.88000000245,139972.3699999995,5630.400000000035,79528.99,94399.86000000301,41.183642321630934,0.9893255317466593,1.7002072883676216
12546,JIM BEAM BRANDS COMPANY,1388,Red Stag by Jim Beam,19.22,28.99,1750.0,6995.0,134443.89999999988,6961.0,173392.39000000045,121781.12999999916,12795.159999999927,123880.96999999999,38948.49000000057,22.46262941528199,0.9951393852751965,1.2897006855647641
